,year,source,target
48,1773,Christian  Saxman,Anna Elizabeth Saxman
51,1787,Israel  Toddel,Elizabeth  Toddel
52,1787,Friedrich  Loorman,Elizabeth  Loorman
53,1781,Dewald  Frees,Elizabeth  Frees
55,1762,George  Braun,Dorothea  Braun
56,1757,Adam,Magdalena  Adam
57,1759,Mattheus  Weiss,Catharina  Weiss
58,1797,Joseph  Haiman,Elizabeth  Haiman
59,1787,Heinrich  Marsteller,Susanna  Marsteller
60,1760,Dewald  Mecklin,Sybilla  Mecklin
61,1783,Jacob  Kaiser,Sara  Kaiser
64,1766,Peter  Rodler,[Noname]  Grammes
65,1770,Jacob  Wagener,Louisa  Huber
66,1773,Peter  Mattern,Catharina  Mattern
67,1783,Michael  Schmoyer,Maria M Schmoyer
68,1797,Heinrich  Larasch,Christina  Larasch
69,1789,Jacob  Schanckweiler,Catharina  Schanckweiler
70,1772,Friedrich  Hains,Johanna  Hains
71,1798,Johannes  Jerret,Anna Maria Jerret
72,1774,Philip  Rut,Maria A Rut
74,1750,Johannes Jacob Gardenbauer,Anna Maria Hornberger
75,1780,Heinrich  Kammer,Margriet  Kammer
77,1773,Michael  Schever,Justina  Schever
78,1796,Peter  Walbert,Elsiabetha  Walbert
79,1796,Michael  Stroh,Margriet  Stroh
80,1777,Daniel  Jus,Catharina  Jus
81,1761,Balthaser  Maute,Catharina  Maute
82,1781,Johannes  Dieffendorfer,Charlotte  Dieffendorfer
